Group/Investment,Ticker,Inception Date,Morningstar Category,Index,Analysis Date,Analyst Rating,People Rating,Process Rating,Parent Rating,Performance Rating,Price Rating,Star Rating,Prospectus Adjusted Operating Expense Ratio,Morningstar Fee Level Rank - Distribution,Fund Size,Fund Size Rank,Est Fund-Level Net Flow 1 Yr,Est Fund-Level Net Flow 1 Yr Rank,Est Fund-Level Net Flow 3 Yr,Est Fund-Level Net Flow 3 Yr Rank,Est Fund-Level Net Flow 5 Yr,Est Fund-Level Net Flow 5 Yr Rank,Flows % 1 Yr,Flows % 1 Yr Rank,Manager Tenure - Longest,Manager Tenure - Longest Rank,Manager Tenure - Average,Manager Tenure - Average Rank,Manager Ownership Level,12 Mo Yield,12 Mo Yield Rank,Eff Duration,Eff Duration Rank,Credit Qual AAA %,Credit Qual AAA Rank,Credit Qual AA %,Credit Qual AA Rank,Credit Qual A % ,Credit Qual A Rank,Credit Qual BBB %,Credit Qual BBB Rank,Credit Qual BB %,Credit Qual BB Rank,Credit Qual B %,Credit Qual B Rank,Credit Qual CCC %,Credit Qual CCC Rank,Credit Qual NR %,Credit Qual NR Rank,% Asset in Top 10,% Asset in Top 10 Rank,# of Holdings ,# of Holdings Rank,Government %,Government Rank,Government Related % ,Government Related Rank,Corporate Bond %,Corporate Bond Rank,Agency MBS %,Agency MBS Rank,Nonagency RMBS %,Nonagency RMBS Rank,CMBS % ,CMBS Rank,ABS %,ABS Rank,Cash & Equivalents % ,Cash & Equivalents Rank,3 Yr Return,3 Yr Return Rank,3 Yr Std Dev,3 Yr Std Dev Rank,3 Yr Sharpe Ratio,3 Yr Sharpe Ratio Rank,3 Yr Alpha,3 Yr Alpha Rank,3 Yr Beta,3 Yr Beta Rank,3 Yr R2,3 Yr R2 Rank,3 Yr Max Drawdown,3 Yr Max Drawdown Rank,5 Yr Return,5 Yr Return Rank,5 Yr Std Dev,5 Yr Std Dev Rank,5 Yr Sharpe Ratio,5 Yr Sharpe Ratio Rank,5 Yr Alpha,5 Yr Alpha Rank,5 Yr Beta,5 Yr Beta Rank,5 Yr R2,5 Yr R2 Rank,5 Yr Max Drawdown,5 Yr Max Drawdown Rank,10 Yr Return,10 Yr Return Rank,10 Yr Std Dev,10 Yr Std Dev Rank,10 Yr Sharpe Ratio,10 Yr Sharpe Ratio Rank,10 Yr Alpha,10 Yr Alpha Rank,10 Yr Beta,10 Yr Beta Rank,10 Yr R2,10 Yr R2 Rank,10 Yr Max Drawdown,10 Yr Max Drawdown Rank,15 Yr Return,15 Yr Return Rank,15 Yr Std Dev,15 Yr Std Dev Rank,15 Yr Sharpe Ratio,15 Yr Sharpe Ratio Rank,15 Yr Alpha,15 Yr Alpha Rank,15 Yr Beta,15 Yr Beta Rank,15 Yr R2,15 Yr R2 Rank,15 Yr Max Drawdown,15 Yr Max Drawdown Rank,IR Shock Oct 2010 - Jan 2011,IR Shock Oct 2010 - Jan 2011 Rank,Eurozone Crisis June - Sep 2011,Eurozone Crisis June - Sep 2011 Rank,Taper Tantrum May - Aug 2013,Taper Tantrum May - Aug 2013 Rank,EM LC Sell-Off Sep - Dec 2014,EM LC Sell-Off Sep - Dec 2014 Rank,HY Sell-Off June 2015 - Feb 2016,HY Sell-Off June 2015 - Feb 2016 Rank,IR Shock Aug - Dec 2016,IR Shock Aug - Dec 2016 Rank,IR Shock 2018 Jan - Oct 2018,IR Shock 2018 Jan - Oct 2018 Rank,EM LC Sell-Off April - Oct 2019,EM LC Sell-Off April - Oct 2019 Rank,HY Equity Sell-Off Oct - Dec 2018,HY Equity Sell-Off Oct - Dec 2018 Rank,2008 Return,2008 Return Rank,2009 Return,2009 Return Rank
First Investors Floating Rate Instl,FRFNX,10/18/13,US Fund Bank Loan,No,,,,,,,,3.00,0.75,44,"118,348,631.00",79,"-107,647,482.84",37,"-31,580,588.67",56,"18,705,985.96",43,-48.08,95,5.75,65,5.17,41,Bryan Petermann [$0 - None];Clinton J. Comeaux [$0 - None];,4.11,93,0.39,23,0.00,49,0.00,20,0.00,19,2.25,69,34.30,26,61.85,26,1.60,85,0.00,82,12.40,43,195,73,,,,,,,,,,,,,,,,,3.96,82,2.28,94,1.06,61,-0.52,57,0.80,89,95.77,62,-2.84,13,2.78,84,2.40,86,0.78,44,-0.24,46,0.76,88,-2.84,8,92.70,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.91,84,-2.13,10,2.30,92,3.44,35,2.32,20,-2.80,16,,,,
First Trust Senior Loan ETF,FTSL,5/1/13,US Fund Bank Loan,No,6/6/19,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3.00,0.87,,"1,624,254,492.00",30,"95,088,000.00",2,"1,196,906,000.00",10,"1,487,538,000.00",6,6.19,15,6.17,56,6.17,36,"William Housey [$0 - None];Scott D. Fries [$10,001 - $50,000];",4.52,89,0.39,23,0.00,49,0.00,20,0.00,19,7.60,20,32.45,40,58.76,28,1.19,91,0.00,82,19.89,10,208,69,0.02,4,0.00,4,8.93,34,0.02,6,0.00,7,0.01,6,0.25,29,3.53,54,3.65,94,3.03,23,0.71,96,-1.72,98,1.05,23,94.83,73,-3.64,66,2.94,80,2.92,61,0.69,60,-0.48,56,0.91,67,-3.64,35,89.02,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.35,12,-2.70,23,1.93,98,2.77,91,1.86,83,-3.64,67,,,,
First Trust Short Duration High Inc I,FDHIX,11/1/12,US Fund Bank Loan,No,,,,,,,,3.00,0.93,90,"184,593,187.00",76,"-15,573,443.09",28,"5,676,650.98",51,"4,117,349.00",45,-7.55,27,6.67,50,6.67,35,"William Housey [$1 - $10,000];Scott D. Fries [$0 - None];Peter Fasone [$0 - None];",3.08,98,,,,,,,,,,,,,,,,,,,19.30,14,177,78,0.00,12,0.00,4,14.90,9,0.00,9,0.00,9,0.00,9,0.00,42,7.75,12,4.04,80,3.35,4,0.76,91,-1.53,89,1.11,9,85.12,96,-3.69,68,3.11,61,3.49,16,0.63,80,-0.66,71,1.05,29,-4.65,50,81.38,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,76,-0.53,18,-4.53,50,2.21,94,2.79,90,2.04,58,-3.69,68,,,,
Franklin Floating Rate Daily Access Adv,FDAAX,5/1/01,US Fund Bank Loan,No,,,,,,,,3.00,0.62,6,"2,903,981,269.00",18,"-660,209,081.11",69,"-271,882,415.35",82,"-2,857,352,843.84",86,-14.73,40,6.08,58,2.31,79,"Justin G. Ma [$10,001 - $50,000];Margaret Chiu [$0 - None];Reema Agarwal [$0 - None];",5.34,26,0.14,91,8.52,6,2.14,8,8.21,1,8.74,15,36.29,19,26.39,98,7.59,20,2.13,44,18.92,15,216,65,0.00,12,0.00,4,61.43,2,0.00,9,0.00,9,0.00,9,13.00,2,3.13,64,4.19,69,2.29,92,1.12,52,-0.10,25,0.75,98,79.23,98,-2.43,2,2.95,79,2.96,58,0.69,63,-0.47,54,0.91,65,-6.45,79,86.04,92,4.71,90,3.17,95,1.30,65,-0.24,60,0.79,95,88.83,95,-6.45,80,3.59,90,5.48,90,0.42,80,-0.40,50,0.78,90,-23.61,20,93.42,70,4.03,79,-3.90,37,0.82,10,-1.10,46,-6.45,79,4.68,11,3.40,40,2.07,55,-2.43,8,-22.64,24,30.02,95
Franklin Liberty Senior Loan ETF,FLBL,5/30/18,US Fund Bank Loan,No,,,,,,,,,0.45,,"57,316,917.00",90,"32,712,955.13",4,,,,,134.13,1,1.17,92,0.67,98,Justin G. Ma [$0 - None];Margaret Chiu [NA - New Manager];Reema Agarwal [NA - New Manager];,4.37,90,,,,,,,,,,,,,,,,,,,27.41,9,39,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.95,26,,,,
Goldman Sachs High Yield Fl Rate Instl,GSFRX,3/31/11,US Fund Bank Loan,No,,,,,,,,3.00,0.63,10,"2,192,377,358.00",24,"-2,132,478,822.15",95,"-1,185,683,813.60",98,"-2,541,276,094.79",82,-95.71,100,8.33,28,3.17,72,"Rachel C. Golder [$0 - None];Michael S. Goldstein [$100,001 - $500,000];Peter M. Campo [$0 - None];Ken Yang [$0 - None];",5.20,38,0.11,97,2.88,33,0.00,20,0.00,19,4.85,53,29.55,62,55.21,38,3.65,58,3.87,26,7.58,81,341,35,,,,,,,,,,,,,,,,,3.90,85,3.04,22,0.79,87,-1.53,87,1.07,20,96.27,59,-4.14,92,2.97,75,3.05,48,0.67,69,-0.64,65,0.98,52,-4.14,40,94.64,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.90,14,0.29,65,-0.56,20,-3.97,41,2.18,96,2.59,93,1.78,88,-4.14,92,,,,
Guggenheim Floating Rate Strats Instl,GIFIX,11/30/11,US Fund Bank Loan,No,,,,,,,,4.00,0.78,70,"1,919,105,664.00",25,"-1,439,156,068.65",87,"-520,047,149.39",87,"322,944,987.52",28,-42.78,87,7.67,44,6.92,33,"B. Scott Minerd [$0 - None];Anne Bookwalter Walsh [$0 - None];Kevin H. Gundersen [$0 - None];Thomas J. Hauser [$100,001 - $500,000];",4.88,63,0.25,67,0.25,46,0.41,10,0.49,8,4.86,51,31.86,46,57.45,29,1.23,89,3.45,28,,,286,52,0.00,12,0.00,4,3.54,71,0.00,9,0.88,1,0.00,9,1.19,21,1.59,86,4.08,78,2.45,78,1.03,62,-0.65,61,0.87,78,97.69,20,-3.11,31,3.38,35,2.45,82,0.99,14,0.25,14,0.80,82,-3.11,21,95.54,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,14,-0.29,10,-2.64,21,2.87,64,3.09,70,2.08,52,-3.11,34,,,,
Hartford Floating Rate High Inc I,HFHIX,9/30/11,US Fund Bank Loan,No,,,,,,,,4.00,0.81,79,"444,675,634.00",55,"-110,010,243.67",39,"117,513,031.06",31,"-111,021,235.18",51,-19.53,49,1.83,84,1.83,82,"Jeffrey W. Heuer [$50,001 - $100,000];David B. Marshak [$50,001 - $100,000];",6.69,2,0.53,9,0.00,49,0.10,15,0.00,19,3.70,60,30.04,60,47.18,71,6.26,29,12.72,1,15.87,25,278,55,0.00,12,0.00,4,9.00,32,0.00,9,0.00,9,0.00,9,0.00,42,8.48,9,5.85,6,3.21,8,1.31,18,0.09,18,1.14,4,95.75,66,-3.89,84,3.27,46,4.27,2,0.56,84,-1.31,86,1.35,2,-9.01,96,91.82,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,72,-3.61,100,-9.01,96,5.05,8,3.50,29,2.26,25,-3.89,82,,,,
Hartford Floating Rate I,HFLIX,8/31/06,US Fund Bank Loan,No,9/4/18,Neutral,Positive,Neutral,Positive,Neutral,Positive,4.00,0.72,33,"3,166,790,817.00",14,"-890,438,600.65",74,"-1,000,778,826.25",94,"-3,949,125,130.18",92,-21.87,57,1.83,84,1.83,82,"Jeffrey W. Heuer [$50,001 - $100,000];David B. Marshak [$100,001 - $500,000];",6.23,7,0.29,58,0.00,49,0.00,20,0.00,19,5.96,35,32.64,38,47.69,69,4.84,44,8.87,8,11.48,52,300,47,0.00,12,0.00,4,4.95,64,0.00,9,0.00,9,0.00,9,0.00,42,8.54,7,5.31,16,3.18,11,1.16,43,-0.42,50,1.13,6,97.25,34,-4.06,89,3.23,56,3.71,12,0.63,82,-0.99,84,1.21,10,-6.79,80,96.83,10,5.76,35,4.06,20,1.27,80,-0.61,90,1.04,15,94.92,45,-6.79,85,,,,,,,,,,,,,,,5.05,34,-4.44,73,0.30,63,-2.28,92,-6.79,81,5.08,6,3.26,50,1.99,68,-4.06,89,-30.29,70,43.96,35
Highland/iBoxx Senior Loan ETF,SNLN,11/6/12,US Fund Bank Loan,Yes,,,,,,,,1.00,0.55,,"313,197,530.00",59,"-322,087,569.14",60,"-103,224,594.28",64,"112,887,289.27",35,-54.99,96,2.08,82,1.79,86,"Mark Okada [$100,001 - $500,000];Jon Poglitsch [$1 - $10,000];",5.09,46,,,0.00,49,0.00,20,0.00,19,0.00,94,0.00,98,100.00,1,0.00,92,0.00,82,19.55,12,112,87,,,,,,,,,,,,,,,,,3.27,100,3.20,9,0.56,100,-2.29,100,1.11,8,93.77,78,-4.72,98,1.97,98,3.24,29,0.34,98,-1.73,98,1.03,37,-4.99,54,92.01,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,81,-1.43,65,-4.96,54,2.66,80,3.16,58,1.58,98,-4.72,98,,,,
Invesco Floating Rate Y,AFRYX,10/3/08,US Fund Bank Loan,No,5/15/19,Neutral,Positive,Neutral,Neutral,Neutral,Neutral,4.00,0.78,83,"2,254,360,157.00",21,"-349,342,363.73",63,"213,712,858.17",22,"-542,714,929.08",68,-13.35,34,13.42,11,8.19,24,"Thomas Ewald [$100,001 - $500,000];Scott Baskind [$100,001 - $500,000];Philip Yarrow [$100,001 - $500,000];",4.95,59,,,0.00,49,0.00,20,0.00,19,8.58,17,30.78,55,45.97,78,4.81,46,9.86,6,10.30,57,698,7,0.00,12,0.00,4,10.24,24,0.00,9,0.00,9,0.00,9,0.26,27,2.11,79,5.41,13,2.91,29,1.29,22,0.03,22,1.04,25,96.52,55,-3.69,69,3.39,33,3.55,14,0.70,58,-0.67,73,1.15,14,-7.37,88,95.63,31,6.00,25,3.99,25,1.35,50,-0.29,65,1.03,25,95.58,35,-7.37,90,4.10,40,7.32,30,0.40,90,-0.77,90,1.06,20,-35.25,80,97.09,30,5.59,21,-4.46,76,0.57,33,-1.31,56,-7.37,89,4.57,15,3.61,25,2.19,30,-3.69,70,-33.81,88,47.41,20
Invesco Oppenheimer Senior Fl Rate Y,OOSYX,11/28/05,US Fund Bank Loan,No,7/2/19,Neutral,Neutral,Neutral,Neutral,Neutral,Positive,5.00,0.74,87,"11,592,706,595.00",1,"-3,190,230,650.10",98,"-1,002,275,933.81",96,"-9,375,865,031.75",100,-21.28,52,19.83,2,11.79,4,"Joseph Welsh [$1,000,001 and above];David Lukkes [$500,001 - $1,000,000];",5.36,23,0.33,47,3.29,28,0.00,20,0.00,19,1.77,74,32.76,35,52.59,53,4.19,53,5.40,11,,,403,21,0.00,12,0.00,4,2.33,86,0.00,9,0.00,9,0.00,9,0.00,42,3.12,68,5.06,23,3.10,15,1.11,55,-0.43,52,1.07,16,90.75,94,-4.22,96,3.37,39,3.46,18,0.71,56,-0.59,60,1.11,18,-6.25,75,92.92,67,6.51,10,3.78,35,1.55,5,0.53,10,0.96,45,92.98,80,-6.25,70,4.64,20,6.33,60,0.53,20,0.27,20,0.89,60,-30.71,40,90.99,80,5.62,17,-3.87,34,0.99,5,-1.38,61,-6.25,76,5.99,1,3.14,63,1.97,70,-4.22,95,-29.34,53,43.82,40
Invesco Oppenheimer Senior Fl Rt Pls Y,OSFYX,8/23/13,US Fund Bank Loan,No,,,,,,,,4.00,0.85,98,"79,225,393.00",84,"6,266,770.38",12,"34,430,529.85",46,"23,772,734.88",41,8.61,10,5.92,61,4.83,45,"Joseph Welsh [$1,000,001 and above];David Lukkes [$100,001 - $500,000];",5.75,12,0.54,7,0.94,44,0.00,20,0.00,19,1.81,73,33.01,33,55.55,37,4.51,51,4.17,24,,,397,22,0.00,12,0.00,4,5.87,54,0.00,9,0.00,9,0.00,9,0.00,42,0.89,93,5.45,11,3.86,1,1.00,71,-1.03,80,1.34,1,93.17,84,-5.18,100,3.23,54,4.25,4,0.55,86,-1.38,88,1.36,1,-8.58,94,93.29,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.79,80,-8.58,94,5.86,2,3.29,48,2.04,60,-5.18,100,,,,
Invesco Senior Loan ETF,BKLN,3/3/11,US Fund Bank Loan,Yes,2/28/19,Neutral,Neutral,Negative,Neutral,Negative,Positive,2.00,0.65,,"4,290,151,093.00",8,"-3,495,822,000.00",100,"-200,012,000.00",74,"-2,346,243,000.00",78,-45.01,90,8.33,28,7.38,28,"Philip Fang [$0 - None];Scott Baskind [$0 - None];Peter Hubbard [$0 - None];Jeffrey W. Kernagis [$10,001 - $50,000];Gary Jones [$0 - None];Richard Ose [$1 - $10,000];Seth Misshula [$0 - None];",4.87,65,,,3.98,22,0.00,20,0.00,19,21.23,1,28.45,67,39.80,92,3.59,62,2.95,33,15.22,27,179,76,0.00,12,0.00,4,42.39,4,0.00,9,0.00,9,0.00,9,0.00,42,12.82,1,3.92,84,3.10,16,0.78,89,-1.58,91,1.09,13,96.30,57,-3.92,87,2.33,96,3.31,25,0.44,94,-1.46,94,1.06,27,-5.60,67,94.26,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.08,100,-0.35,100,-1.50,69,-5.50,68,2.66,82,3.24,55,2.12,43,-3.92,85,,,,
JHancock Floating Rate Income I,JFIIX,1/2/08,US Fund Bank Loan,No,,,,,,,,3.00,0.79,70,"957,092,810.00",44,"-305,850,842.69",58,"-1,320,589,991.10",100,"-2,859,749,649.19",88,-24.20,62,0.92,96,0.69,96,Andrew Carlino [$0 - None];Kim Harris [$0 - None];Nate Whittier [$0 - None];,4.81,73,0.26,64,0.00,49,0.00,20,0.00,19,1.13,78,18.42,85,73.88,6,5.57,35,1.00,56,9.52,62,308,44,0.00,12,0.00,4,9.30,29,0.00,9,0.00,9,0.00,9,0.00,42,2.88,74,4.71,43,3.14,13,1.00,69,-0.80,68,1.08,15,92.31,89,-3.58,55,2.51,90,3.81,8,0.43,96,-1.69,96,1.21,8,-9.19,98,93.17,65,5.25,70,4.23,10,1.11,95,-1.27,95,1.07,5,93.21,70,-9.19,100,,,,,,,,,,,,,,,5.85,13,-4.43,70,0.06,90,-2.32,94,-9.19,98,4.38,16,2.53,95,1.64,96,-3.58,57,,,41.51,55
JPMorgan Floating Rate Income I,JPHSX,6/1/11,US Fund Bank Loan,No,,,,,,,,2.00,0.75,44,"1,429,224,500.00",36,"-1,392,315,935.13",85,"-402,318,357.23",83,"-2,766,435,988.15",84,-47.97,93,8.08,36,3.47,65,"James P. Shanahan [$1,000,001 and above];William J. Morgan [$500,001 - $1,000,000];Alexander Sammarco [$1 - $10,000];Chris Musbach [$10,001 - $50,000];Michael Schlembach [$0 - None];",5.20,37,0.40,20,0.00,49,0.00,20,0.00,19,5.01,49,42.22,4,46.75,74,3.14,67,2.88,35,14.18,35,269,59,0.00,12,0.00,4,14.19,11,0.00,9,0.00,9,0.00,9,0.01,41,6.74,14,4.13,75,2.85,41,0.91,82,-1.07,82,1.00,43,95.29,69,-3.51,50,2.40,92,3.30,27,0.46,92,-1.42,92,1.07,21,-6.90,82,95.80,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,51,-1.73,77,-6.90,83,3.23,45,3.15,60,1.85,85,-3.51,52,,,,
Leader Capital Leader Floating Rate Ins,LFIFX,12/30/16,US Fund Bank Loan,No,,,,,,,,,1.01,94,"192,700,932.00",73,"105,190,499.58",1,,,,,128.60,2,2.58,81,2.58,76,"John E. Lekas [$500,001 - $1,000,000]",2.79,100,0.70,5,90.74,1,9.26,1,0.00,19,0.00,94,0.00,98,0.00,100,0.00,92,0.00,82,31.13,7,76,93,5.40,1,0.00,4,0.67,96,14.23,1,0.00,9,0.00,9,76.39,1,3.31,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22,98,1.68,91,0.50,1,,,,
Loomis Sayles Sr Floating Rate and F/I Y,LSFYX,9/30/11,US Fund Bank Loan,No,6/18/19,Neutral,Positive,Neutral,Neutral,Positive,Negative,5.00,0.80,74,"3,262,097,686.00",13,"-645,425,840.64",68,"1,371,454,997.82",8,"1,446,741,423.70",8,-16.49,46,7.83,41,4.42,50,"John R. Bell [$500,001 - $1,000,000];Michael L. Klawitter [$500,001 - $1,000,000];",6.32,5,0.23,73,0.00,49,4.05,4,0.00,19,0.17,92,10.06,96,72.81,8,10.52,2,2.39,40,7.48,86,279,53,0.00,12,0.00,4,9.27,31,0.00,9,0.00,9,0.00,9,0.00,42,4.53,36,5.15,20,2.50,71,1.40,9,0.36,9,0.88,75,92.28,91,-3.02,22,3.68,10,3.39,21,0.81,40,-0.16,39,1.06,23,-7.00,84,89.14,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,28,-1.39,63,-6.92,85,3.88,31,3.45,34,2.02,65,-3.02,27,,,,
Lord Abbett Floating Rate I,LFRIX,12/31/07,US Fund Bank Loan,No,3/12/19,Bronze,Positive,Positive,Neutral,Positive,Positive,4.00,0.59,5,"11,181,470,544.00",2,"-2,759,641,228.36",96,"4,035,293,944.81",1,"1,843,936,053.03",1,-19.64,51,7.00,48,4.31,52,"Robert A. Lee [$1,000,001 and above];Steven F. Rocco [$0 - None];Jeffrey D. Lapin [$50,001 - $100,000];Kearney M. Posner [$1 - $10,000];",5.79,10,0.34,38,0.00,49,0.00,20,0.00,19,0.80,83,22.10,82,65.72,19,10.39,4,0.98,60,6.45,95,506,10,0.00,12,0.00,2,4.52,66,0.00,9,0.00,9,0.00,9,0.48,24,1.88,81,4.78,39,2.71,61,1.18,39,-0.31,43,0.96,61,97.22,36,-3.73,75,3.66,14,2.81,69,0.96,18,0.20,20,0.92,63,-3.73,37,96.72,14,5.59,55,3.38,80,1.47,20,0.22,20,0.86,80,93.14,75,-4.61,20,,,,,,,,,,,,,,,4.06,71,-4.11,60,0.74,19,-1.21,50,-3.16,28,3.88,29,3.65,20,2.29,24,-3.73,74,-21.05,6,32.81,85
MainStay Floating Rate I,MXFIX,5/3/04,US Fund Bank Loan,No,6/12/19,Neutral,Positive,Positive,Neutral,Neutral,Negative,3.00,0.80,74,"1,332,879,897.00",38,"-282,417,105.17",56,"-144,729,101.52",67,"-533,105,154.87",67,-17.39,48,15.17,7,10.00,11,"Robert H. Dial [$10,001 - $50,000];Mark A. Campellone [$0 - None];Arthur S. Torrey [$0 - None];",5.02,48,0.28,60,0.03,47,0.00,20,0.04,17,5.88,37,34.85,24,56.17,31,2.37,80,0.66,64,6.43,96,476,11,0.00,12,0.00,4,6.82,44,0.00,9,0.00,9,0.00,9,0.00,42,1.35,89,4.52,48,2.89,34,1.02,64,-0.80,64,1.03,31,98.35,6,-3.84,82,3.25,50,3.01,54,0.77,46,-0.36,48,0.98,54,-3.84,39,96.81,12,4.89,85,3.22,90,1.34,60,-0.24,55,0.82,90,93.32,65,-4.11,5,3.94,70,5.50,80,0.48,30,-0.12,30,0.80,80,-22.98,10,96.32,50,3.54,95,-3.00,17,0.31,60,-1.34,58,-3.65,37,3.03,54,3.30,47,2.10,47,-3.84,81,-22.21,18,34.53,80
Metropolitan West Floating Rate Inc I,MWFLX,6/28/13,US Fund Bank Loan,No,,,,,,,,4.00,0.70,25,"266,479,532.00",64,"4,004,333.82",16,"81,738,461.75",35,"114,472,178.33",34,1.53,16,6.08,58,6.08,38,"Laird R. Landmann [$1,000,001 and above];Stephen M. Kane [$0 - None];Jerry Cudzil [$0 - None];",4.65,82,0.15,89,7.24,8,0.15,13,1.86,4,13.63,4,28.67,65,46.48,76,1.60,87,0.36,73,8.48,75,260,61,0.00,12,0.00,4,6.24,51,0.00,9,0.00,9,0.00,9,0.17,31,3.80,47,4.27,68,2.19,98,1.24,27,-0.11,27,0.78,96,97.36,31,-2.56,6,3.35,42,2.10,98,1.14,4,0.57,4,0.67,96,-2.56,4,92.10,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.43,14,-1.88,4,2.56,85,3.13,65,2.23,29,-2.49,10,,,,
Muzinich High Income Floating Rate Instl,MZFIX,6/29/18,US Fund Bank Loan,No,,,,,,,,,0.65,13,"11,519,088.00",96,"11,202,836.64",10,,,,,112.03,4,1.08,95,0.81,95,Torben Ronberg [$0 - None];Stuart Fuller [$0 - None];Sam McGairl [$0 - None];,3.24,96,0.20,75,0.00,49,0.00,20,0.00,19,0.40,91,32.70,37,66.90,15,0.00,92,0.00,82,41.67,4,53,95,0.00,12,0.00,4,4.29,68,0.00,9,0.00,9,0.00,9,0.00,42,0.16,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.32,4,,,,
Neuberger Berman Floating Rate Inc Inst,NFIIX,12/30/09,US Fund Bank Loan,No,,,,,,,,3.00,0.71,32,"252,025,539.00",67,"-126,874,667.44",42,"-13,501,091.29",55,"-346,338,959.43",57,-34.41,81,9.58,21,8.33,21,"Daniel J. Doyle [$10,001 - $50,000];Joseph P. Lynch [$100,001 - $500,000];Thomas P. O’Reilly [$1,000,001 and above];Stephen J. Casey [$500,001 - $1,000,000];",5.00,51,0.31,53,4.64,17,0.00,20,0.00,19,5.85,38,35.46,22,49.86,64,3.04,69,1.13,55,7.63,80,349,33,0.00,12,0.00,4,5.39,61,0.00,9,0.00,9,0.00,9,4.05,6,4.80,34,4.28,66,2.90,31,0.94,78,-1.02,78,1.03,34,97.16,39,-3.75,77,3.02,73,3.05,50,0.69,61,-0.61,61,0.99,48,-4.27,44,95.90,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,67,-4.50,80,0.01,93,-0.86,37,-4.27,45,2.83,68,2.97,83,2.03,63,-3.75,76,,,,
Nuveen Symphony Floating Rate Income I,NFRIX,5/2/11,US Fund Bank Loan,No,,,,,,,,3.00,0.80,74,"1,210,684,183.00",39,"-1,091,039,726.57",80,"312,158,603.19",20,"25,921,029.46",39,-47.17,92,8.17,35,4.17,55,"Jenny Rhee [NA - New Manager];Scott Caraher [$500,001 - $1,000,000];",4.97,56,0.28,60,0.00,49,0.00,20,0.00,19,13.96,2,41.93,8,37.99,96,5.78,33,0.34,74,11.79,48,354,30,0.00,12,0.00,4,83.41,1,0.00,9,0.00,9,0.00,9,0.00,42,1.41,88,4.84,32,2.91,27,1.11,54,-0.51,55,1.04,27,96.78,46,-3.79,80,3.13,60,3.24,31,0.68,67,-0.63,63,1.03,31,-5.94,71,93.21,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.25,93,1.13,3,-1.21,52,-5.94,72,4.10,22,3.48,32,2.18,32,-3.79,79,,,,
Pacific Funds Floating Rate Income I,PLFRX,6/30/11,US Fund Bank Loan,No,,,,,,,,4.00,0.72,33,"1,632,136,849.00",28,"-160,424,925.50",47,"857,711,097.67",13,"480,992,694.07",18,-8.85,29,8.08,36,8.08,25,Michael Marzouk [$0 - None];J.P. Leasure [$0 - None];,5.40,18,0.30,56,0.00,49,0.00,20,0.00,19,6.37,24,31.91,44,53.12,47,8.19,13,0.41,71,14.36,30,158,79,0.00,12,0.00,4,4.97,63,0.00,9,0.00,9,0.00,9,0.00,42,3.17,63,5.14,22,2.72,59,1.30,20,0.03,20,0.97,59,96.64,52,-3.38,43,3.56,23,2.80,71,0.94,21,0.22,16,0.88,75,-3.38,23,89.34,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,49,-2.01,86,-2.49,17,4.06,23,3.76,15,2.44,14,-3.38,46,,,,
